# Server version 0.08 running on afs-macbook-pro.fios-router.home:8123
# Game ID: 130
# Board class: pentago_twist.PentagoBoard
# Timeout: 20000
# First Move Timeout: 30000
# Date: Tue Apr 13 09:45:21 EDT 2021
# Player 1: Player-0, 'Random Non-Stupid Benchmark', running on localhost
# Player 2: Player-1, 'ALPHA', running on localhost
START Player-0 Random Non-Stupid Benchmark
START Player-1 ALPHA
3 2 0 1 0
4 2 2 0 1
0 5 3 1 0
0 4 1 1 1
5 3 1 1 0
0 0 3 1 1
2 4 3 1 0
2 3 3 1 1
1 5 0 1 0
2 5 0 0 1
1 0 3 1 0
2 1 0 0 1
3 2 2 1 0
4 0 3 1 1
0 0 3 0 0
1 3 3 1 1
5 4 1 1 0
4 4 1 1 1
3 3 1 0 0
4 1 1 1 1
0 2 1 0 0
3 1 2 1 1
5 3 3 0 0
5 4 3 0 1
3 0 2 0 0
GAMEOVER WINNER 1
# Game ended: Tue Apr 13 09:45:39 EDT 2021
